Group_ID,Galaxy_ID,zs,RA,DEC,zp,zp_Upper,zp_Lower,zp_prob,groupdist,log10_M,Class,R200,R200_err,morph_zurich_match,morph_zurich_d2d,morph_zurich_flag,griffith_match,griffith_d2d,griffith_flag,ultravista_match,ultravista_d2d,ultravista_flag,ch1,J,V,zpband
120,946497,-99.99,150.47872,2.272269,0.74,0.06,0.03,0.18,1.55,9.82,sf,0.88,0.11,37302,0.109176576,FALSE,78041,0.088304538,FALSE,90722,0.252636583,FALSE,9.65,7.848,1.394,5.488
120,946759,-99.99,150.52995,2.270452,0.81,0.01,0.01,0.26,1.45,10.7,p,0.88,0.11,30635,0.066651003,FALSE,78048,0.069194343,FALSE,90647,0.111599853,FALSE,25.333,51.657,1.014,28.436
120,947108,-99.99,150.52164,2.267831,0.91,0.02,0.03,0.11,1.29,9.56,sf,0.88,0.11,35911,0.099210921,FALSE,78060,0.089834421,FALSE,90439,0.264290446,FALSE,1.542,3.978,0.921,2.804
120,947266,0.8394,150.50774,2.263521,0.74,0.05,0.04,1,1.1,9.61,sf,0.88,0.11,35998,0.137481237,FALSE,78083,0.13788,FALSE,90178,0.359814389,FALSE,4.275,6.954,1.782,5.16
120,947431,-99.99,150.51807,2.2659,0.85,0.03,0.03,0.47,1.21,9.99,sf,0.88,0.11,35933,0.119609209,FALSE,78635,0.118885929,FALSE,90325,0.126812173,FALSE,10.912,6.303,0.627,3.635
120,947441,-99.99,150.49326,2.265626,0.85,0.02,0.02,0.6,1.21,10.8,int,0.88,0.11,36072,0.148612666,FALSE,78069,0.147817014,FALSE,90353,0.251895893,FALSE,67.461,20.531,0.846,9.23
120,947614,-99.99,150.47459,2.264854,0.82,0.02,0.01,0.51,1.44,10.36,sf,0.88,0.11,37310,0.239966695,FALSE,79011,0.216409313,FALSE,90315,0.309105386,FALSE,48.865,16.155,1.53,8.353
120,947628,-99.99,150.49235,2.264566,0.89,0.03,0.02,0.11,1.19,10.61,sf,0.88,0.11,36075,0.105772395,FALSE,78076,0.122283519,FALSE,90300,0.251916657,FALSE,51.278,12.704,0.711,5.427
120,947799,-99.99,150.55486,2.26352,0.81,0.08,0.03,0.28,1.74,9.51,sf,0.88,0.11,9568,8.26177728,TRUE,78652,0.124762579,FALSE,90152,0.162539268,FALSE,1.6,3.701,0.358,2.32
120,947993,-99.99,150.45801,2.260858,0.86,0.01,0.01,0.14,1.7,10.6,sf,0.88,0.11,37381,0.126587674,FALSE,79031,0.117052027,FALSE,90081,0.219369939,FALSE,60.275,29.029,2.753,18.044
120,948009,-99.99,150.47057,2.261964,0.88,0.01,0.02,0.19,1.45,10.3,sf,0.88,0.11,37334,0.102421267,FALSE,79023,0.095090604,FALSE,90160,0.217650655,FALSE,50.477,30.558,5.27,17.319
120,948275,-99.99,150.51376,2.259701,0.82,0.01,0.01,0.39,1.01,10.55,p,0.88,0.11,35950,0.090699738,FALSE,78674,0.082748864,FALSE,89957,0.114344684,FALSE,15.341,32.581,0.645,18.554
120,948504,-99.99,150.47142,2.258998,0.83,0.01,0.01,0.68,1.38,10.5,p,0.88,0.11,37320,0.056219591,FALSE,79045,0.055058319,FALSE,89885,0.179941159,FALSE,27.275,13.047,0.388,6.222
120,948508,-99.99,150.47137,2.25759,0.83,0.02,0.03,0.55,1.35,10.03,sf,0.88,0.11,37318,0.251841592,FALSE,79049,0.249864868,FALSE,89796,0.416659851,FALSE,25.686,12.955,1.424,7.265
120,948547,0.8414,150.51749,2.258276,0.83,0.02,0.02,1,1,10.28,sf,0.88,0.11,35926,0.121190657,FALSE,78112,0.114816885,FALSE,89842,0.217256952,FALSE,37.164,14.995,1.02,6.577
120,948659,0.8366,150.52261,2.257528,0.84,0.01,0.01,1,1.03,10.6,p,0.88,0.11,35897,0.156449568,FALSE,78118,0.145478023,FALSE,89776,0.182039042,FALSE,49.426,19.826,0.769,9.716
120,948738,-99.99,150.45465,2.256887,0.84,0.01,0.02,0.59,1.71,9.75,sf,0.88,0.11,37394,0.104154442,FALSE,79054,0.096764698,FALSE,89718,0.184014699,FALSE,8.054,8.221,1.807,5.712
120,948822,-99.99,150.46982,2.256163,0.8,0.01,0.01,0.13,1.36,10.43,sf,0.88,0.11,37329,0.106835259,FALSE,79056,0.102968493,FALSE,89710,0.255362747,FALSE,58.058,23.913,2.83,12.102
120,948990,-99.99,150.54401,2.255166,0.85,0.02,0.03,0.5,1.35,9.94,p,0.88,0.11,13541,0.055616074,FALSE,78700,0.053357661,FALSE,89606,0.101956624,FALSE,10.752,7.72,0.387,4.078
120,949127,-99.99,150.50671,2.253776,0.84,0.01,0.01,0.77,0.83,11.41,sf,0.88,0.11,35988,0.192401574,FALSE,78140,0.132343546,FALSE,89732,0.111509856,FALSE,271.938,79.229,3.008,35.491
120,949293,0.8358,150.54434,2.252227,0.83,0.01,0.01,1,1.31,10.12,sf,0.88,0.11,13538,0.181224206,FALSE,78150,0.143301801,FALSE,89504,0.180085985,FALSE,31.711,20.834,3.894,13.392
120,949296,-99.99,150.54541,2.253297,0.86,0.02,0.02,0.35,1.35,10.07,sf,0.88,0.11,13533,0.167078913,FALSE,78712,0.168725444,FALSE,89551,0.216772466,FALSE,16.929,8.569,0.409,4.622
120,949312,-99.99,150.50633,2.252835,0.79,0.03,0.14,0.25,0.8,10.3,int,0.88,0.11,35994,0.047943715,FALSE,78149,0.043326564,FALSE,89494,0.113315357,FALSE,19.946,11.429,0.577,6.325
120,949514,-99.99,150.54596,2.250294,0.8,0.03,0.04,0.34,1.32,9.55,sf,0.88,0.11,13522,3.473808516,TRUE,239228,0.040651829,FALSE,89269,0.122061015,FALSE,-0.191,1.861,0.11,1.203
120,949545,0.8366,150.46517,2.251603,0.83,0.01,0.01,1,1.38,10.73,p,0.88,0.11,37348,0.119026057,FALSE,79089,0.119475674,FALSE,89422,0.221396585,FALSE,75.943,33.623,1.398,17.848
120,949584,-99.99,150.52038,2.250987,0.88,0.05,0.04,0.29,0.84,10.24,sf,0.88,0.11,35902,0.292845303,FALSE,78155,0.235453088,FALSE,89420,0.217356338,FALSE,42.376,15.252,1.785,7.84
120,949943,-99.99,150.53447,2.248452,0.83,0.02,0.03,0.59,1.03,10.12,p,0.88,0.11,13586,0.141027466,FALSE,78755,0.152857191,FALSE,89209,0.218252024,FALSE,17.167,10.155,0.439,5.659
120,950304,-99.99,150.50543,2.245233,0.82,0.01,0.01,0.53,0.59,11.03,int,0.88,0.11,35991,0.139331575,FALSE,78189,0.166118664,FALSE,89146,0.402864412,FALSE,119.406,39.946,1.241,19.021
120,950441,-99.99,150.49361,2.242087,0.89,0.02,0.03,0.19,0.62,10.67,sf,0.88,0.11,36046,0.119427921,FALSE,78215,0.119282107,FALSE,88935,0.150548935,FALSE,79.601,26.259,1.319,12.487
120,950451,-99.99,150.4594,2.245568,0.84,0.01,0.01,0.78,1.44,10.69,p,0.88,0.11,37365,0.10324528,FALSE,79118,0.083377407,FALSE,89071,0.220926315,FALSE,55.823,24.887,0.848,13.281
